recording date,grid position,session ID,trellis filenumber,mat filename,iontophoresis,voltage,isolation quality,plx file range,included trials,electode broken?,comment/electrode,general comment,included to analysis ?,excluded due to electordes,
,,,11,ka_0012_11.40.grating.CO.mat,control,,4.5,,,,,,,,
,,13,1,ka_0013_12.02.grating.ORxM.mat,,,"c1=1.5,c2=2",,,yes,"both side 100 um, voltage was in negative value",,,,
,,,2,ka_0013_12.03.grating.ORxM.mat,,,"c1=2,c2=3",,,,,,,,
,,,4,ka_0013_12.05.grating.SF.mat,,,"c1=2.5,c2=2",,,,,,,,
,,,5,ka_0013_12.06.grating.OR.mat,control,,"c1=2.5,c2=2.5",,,,,,,,
,,,6,ka_0013_12.10.grating.OR.mat,control,,"c1=2.5,c2=2.5",,,,,,,,
,,,7,ka_0013_12.11.grating.OR.mat,5HT_20nA,-0.1,"c1=2.5,c2=2.5",,,,,,,,
,,,8,ka_0013_12.13.grating.OR.mat,control,,"c1=3,c2=3",,,,,,,,
,,,9,ka_0013_12.15.grating.OR.mat,NaCl_20nA,-0.1,"c1=2.5,c2=2.5",,,,,,,,
,,,10,ka_0013_12.17.grating.OR.mat,control,,"c1=2.5,c2=2.5",,,,,,,,
,,,11,ka_0013_12.20.grating.OR.mat,5HT_30nA,0,"c1=2.5,c2=3",,,,,,,,
,,,12,ka_0013_12.21.grating.OR.mat,control,,"c1=4,c2=4",,,,,,,,
,,,13,ka_0013_12.24.grating.OR.mat,control,,"c1=3,c2=3",,,,,,,,
,,,14,ka_0013_12.26.grating.OR.mat,5HT_40nA,0.1,"c1=3.5,c2=3.5",,,,,,,,
,,,15,ka_0013_12.29.grating.OR.mat,control,,"c1=2,c2=3.5",,,,,,,,
,,,16,ka_0013_12.31.grating.OR.mat,control,,"c1=3,c2=3",,,,,,,,
,,,17,ka_0013_12.33.grating.OR.mat,5HT_40nA,0.1,"c1=3,c2=3",,,,,,,,
,,,18,ka_0013_12.35.grating.OR.mat,control,,"c1=2.5,c2=3",,,,,,,,
,,,20,ka_0013_12.42.grating.CO.mat,control,,"c1=2,c2=5",,,,,,,,
,,,21,ka_0013_12.43.grating.CO.mat,5HT_20nA,-0.1,"c1=1.5, c2=5",0-28,Jan 38,,,,,,
04.04.2016,"-2,+2",14,1,ka_0014_13.12.grating.XPos.mat,,,,,,no,,,,,
,,15,1,ka_0015_13.33.grating.XPos.mat,,,1,,,no,,,,,
,,,2,ka_0015_13.34.grating.YPos.mat,,,1,,,,,,,,
,,,3,ka_0015_13.35.grating.ORxM.mat,,,2,,,,,,,,
,,,4,ka_0015_13.37.grating.OR.mat,control,,3,,,,,,,,
,,,5,ka_0015_13.39.grating.OR.mat,5HT_10nA,0.3,3,,,,,,,,
,,,6,ka_0015_13.41.grating.OR.mat,control,,4,,,,,,,,
,,,8,ka_0015_13.44.grating.OR.mat,control,,3,4-end,5-end,,,,,,
,,,9,ka_0015_13.46.grating.OR.mat,5HT_20nA,0.6,4.5,,,,,,,,
,,,10,ka_0015_13.48.grating.OR.mat,control,,4.5,,,,,,,,
,,16,1,ka_0016_15.23.grating.ORxM.mat,,,1,,,no,,,,,
,,,2,ka_0016_15.26.grating.OR.mat,,,1,,,,,,,,
,,,3,ka_0016_15.28.grating.SF.mat,,,1,,,,,,,,
,,,5,ka_0016_15.31.grating.CO.mat,control,,2.5,,,,,,,,
,,,6,ka_0016_15.32.grating.CO.mat,5HT_10nA,0.1,2,,,,,,,,
,,,8,ka_0016_15.37.grating.CO.mat,control,,2,,,,,,,,
04.05.2016,"+6,+3",17,1,ka_0017_13.02.grating.XPos.mat,,,3,,,no,,,,,
,,,2,ka_0017_13.03.grating.YPos.mat,,,3,,,,,,,,
,,18,1,ka_0018_13.22.grating.XPos.mat,,,3,,,no,,,,,
,,,2,ka_0018_13.22.grating.YPos.mat,,,3,,,,,,,,
,,,4,ka_0018_13.25.grating.ORxM.mat,,,4,,,,,,,,
,,19,1,ka_0019_13.34.grating.XPos.mat,,,2,,,no,,,,,
,,,2,ka_0019_13.35.grating.YPos.mat,,,2,,,,,,,,
,,,3,ka_0019_13.36.grating.ORxM.mat,,,2.5,,,,,,,,
,,,4,ka_0019_13.38.grating.OR.mat,control,,2.5,,,,,,,,
,,,5,ka_0019_13.40.grating.OR.mat,5HT_10nA,-0.2,4,,,,,,,,
,,20,2,ka_0020_13.59.grating.XPos.mat,,,"c1=2,c2=2",,,no,,,,,
,,,3,ka_0020_14.00.grating.YPos.mat,,,"c1=3,c2=3",,,,,,,,
,,,4,ka_0020_14.01.grating.ORxM.mat,,,"c1=4,c2=4",,,,,,,,
,,,5,ka_0020_14.04.grating.SF.mat,,,"c1=3,c2=3",,,,,,,,
,,,6,ka_0020_14.06.grating.CO.mat,control,,"c1=3,c2=3",,,,,for c1 - no graph,,,
,,,7,ka_0020_14.07.grating.CO.mat,5HT_10nA,-0.3,"c1=3,c2=3",,,,,for c1- no graph,,,
04.07.2016,"+8,-4",21,1,ka_0021_16.45.grating.XPos.mat,,,5,,,no,,MUA,,,
,,,2,ka_0021_16.46.grating.XPos.mat,,,5,,,,,MUA,,,
,,,3,ka_0021_16.47.grating.YPos.mat,,,5,,,,,MUA,,,
,,,4,ka_0021_16.48.grating.ORxM.mat,control,,4.5,,,,,,,,
,,,5,ka_0021_16.51.grating.SF.mat,control,,4,,,,,,,,
,,22,2,ka_0022_16.56.grating.SF.mat,,,3,,,no,,,,,
,,,3,ka_0022_16.57.grating.SF.mat,,,3,,,,,,,,
,,,4,ka_0022_16.58.grating.OR.mat,control,,3.5,,,,,,,,
,,,5,ka_0022_17.00.grating.OR.mat,5HT_10nA,0.3,3.5,,,,,,,,
,,,8,ka_0022_17.03.grating.TF.mat,control,,3.5,,,,,,,,
,,,9,ka_0022_17.06.grating.OR.mat,control,,4.5,,,,,,,,
,,,10,ka_0022_17.08.grating.OR.mat,5HT_10nA,0.3,4.5,,,,,,,,
,,,12,ka_0022_17.12.grating.TF.mat,control,,3,,,,,,,,
,,,14,ka_0022_17.13.grating.TF.mat,control,,5,,,,,MUA - not sorted,,,
,,23,1,ka_0023_17.45.grating.ORxM.mat,control,,5,,,no,,,,,
,,,2,ka_0023_17.48.grating.ORxM.mat,control,,5,,,,,,,,
,,,3,ka_0023_17.51.grating.SF.mat,control,,4,,,,,,,,
,,,4,ka_0023_17.52.grating.SF.mat,control,,5,,,,,,,,
04.08.2016,"+3,-7",24,1,ka_0024_11.34.grating.XPos.mat,,,1,,,no,,,,,
,,,2,ka_0024_11.35.grating.YPos.mat,,,1,,,,,,,,
,,,4,ka_0024_11.36.grating.ORxM.mat,,,2,,,,,,,,
,,,5,ka_0024_11.40.grating.SF.mat,,,3,,,,,,,,
,,,6,ka_0024_11.41.grating.OR.mat,,,"c1=2, c2=3",0-45,Jan 68,,,,,,
,,,7,ka_0024_11.42.grating.CO.mat,control,,2.5,,,,,,,,
,,,8,ka_0024_11.43.grating.CO.mat,5HT_10nA,0.2,2,,,,,,,,
