recording date,grid position,session ID,trellis filenumber,mat filename,iontophoresis,voltage,isolation quality,plx file range,included trials,electode broken?,comment/electrode,general comment,included to analysis ?,excluded due to electordes,
,,38,1,ka_0038_12.35.grating.ORxM.mat,control,,3,,,,,,,,
,,39,3,ka_0039_13.07.grating.ORxM.mat,,,1.5,,,no,,,,,
,,,4,ka_0039_13.09.grating.OR.mat,control,,3,,,,,,,,
,,,5,ka_0039_13.10.grating.OR.mat,5HT_10nA,0.3,1,,,,,,,,
,,,6,ka_0039_13.12.grating.OR.mat,control,,1.5,,,,,,,,
,,,7,ka_0039_13.14.grating.OR.mat,5HT_25nA,0.9,1.5,,,,,,,,
,,,8,ka_0039_13.16.grating.OR.mat,control,,1,,,,,,,,
,,,9,ka_0039_13.17.grating.OR.mat,NaCl_25nA,0.2,1.5,,,,,,,,
,,40,1,ka_0040_13.39.grating.ORxM.mat,,,1.5,,,no,,,,,
,,,2,ka_0040_13.41.grating.SF.mat,,,2.5,,,,,,,,
,,,3,ka_0040_13.43.grating.OR.mat,,,2.5,,,,,,,,
,,,4,ka_0040_13.44.grating.OR.mat,5HT_10nA,0.3,4.5,,,,,,,,
,,,5,ka_0040_13.49.grating.OR.mat,,,4,,,,,,,,
,,41,1,ka_0041_14.18.grating.ORxM.mat,,,3,,,no,,,,,
,,,3,ka_0041_14.21.grating.SF.mat,,,3,,,,,,,,
,,,5,ka_0041_14.22.grating.OR.mat,control,,2.5,,,,,,,,
,,,6,ka_0041_14.23.grating.OR.mat,5HT_15nA,0.6,3,,,,,,,,
,,,7,ka_0041_14.25.grating.OR.mat,control,,4,,,,,,,,
,,,8,ka_0041_14.26.grating.TF.mat,control,,5,,,,,,,,
,,,9,ka_0041_14.28.grating.OR.mat,control,,4,,,,,,,,
,,,10,ka_0041_14.29.grating.OR.mat,control,,4,,,,,,,,
,,,13,ka_0041_14.33.grating.OR.mat,control,,2.5,,,,,,,,
,,,14,ka_0041_14.34.grating.OR.mat,control,,4,,,,,,,,
,,,15,ka_0041_14.35.grating.OR.mat,control,,2.5,,,,,,,,
,,,16,ka_0041_14.36.grating.OR.mat,NaCl_15nA,0.1,2.5,,,,,,,,
,,,17,ka_0041_14.38.grating.OR.mat,control,,3,,,,,,,,
,,,18,ka_0041_14.41.grating.OR.mat,control,,3.5,,,,,,,,
04/19/2016,"+5,+5",42,1,ka_0042_11.07.grating.XPos.mat,,,1,,,no,,,,,
,,,2,ka_0042_11.08.grating.YPos.mat,,,1,,,,,,,,
,,,5,ka_0042_11.11.grating.ORxM.mat,,,1,,,,,,,,
,,,6,ka_0042_11.14.grating.SF.mat,,,1,,,,,,,,
,,,7,ka_0042_11.15.grating.OR.mat,control,,1.5,,,,,,,,
,,,8,ka_0042_11.17.grating.OR.mat,5HT_10nA,0.3,1.5,,,,,,,,
,,,9,ka_0042_11.18.grating.OR.mat,control,,3,,,,,,,,
,,,10,ka_0042_11.21.grating.TF.mat,control,,"c1=2,c2=2.5",,,,,,,,
,,,11,ka_0042_11.27.grating.OR.mat,control,,2,,,,,,,,
,,,12,ka_0042_11.29.grating.SF.mat,control,,1.5,,,,,,,,
,,,13,ka_0042_11.30.grating.CO.mat,control,,1.5,,,,,,,,
,,,14,ka_0042_11.31.grating.CO.mat,5HT_10nA,0.2,1.5,,,,,,,,
,,,15,ka_0042_11.33.grating.CO.mat,control,,1.5,,,,,,,,
,,,16,ka_0042_11.34.grating.CO.mat,control,,1.5,,,,,,,,
,,,17,ka_0042_11.36.grating.CO.mat,5HT_20nA,0.6,2,,,,,,,,
,,,18,ka_0042_11.37.grating.CO.mat,control,,2,,,,,,,,
,,,20,ka_0042_11.39.grating.CO.mat,5HT_30nA,1,2.5,,,,,,,,
,,,21,ka_0042_11.41.grating.CO.mat,control,,2.5,,,,,,,,
,,43,1,ka_0043_12.35.grating.ORxM.mat,,,1.5,,,no,,,,,
,,,3,ka_0043_12.39.grating.OR.mat,control,,1.5,,,,,,,,
,,,4,ka_0043_12.40.grating.OR.mat,5HT_15nA,0.6,2.5,,,,,,,,
,,,5,ka_0043_12.42.grating.OR.mat,control,,3,,,,,,,,
,,,6,ka_0043_12.44.grating.OR.mat,control,,1.5,,,,,,,,
,,,7,ka_0043_12.47.grating.OR.mat,5HT_35nA,1.5,3,,,,,,,,
,,,9,ka_0043_12.50.grating.OR.mat,control,,3,,,,,,,,
,,,10,ka_0043_12.52.grating.OR.mat,control,,3,,,,,,,,
,,,11,ka_0043_12.54.grating.OR.mat,NaCl_35nA,0.5,5,,,,,not all trials,,,
,,,12,ka_0043_12.55.grating.OR.mat,NaCl_35nA,0.5,2.5,,,,,,,,
,,44,1,ka_0044_13.31.grating.ORxM.mat,,,"c1=5,c2=1",,,no,clogged in the end,c1 is MUA,,,
,,,2,ka_0044_13.35.grating.OR.mat,control,,"c1=5,c2=1",,,,,c1 is MUA,,,
,,,3,ka_0044_13.36.grating.OR.mat,5HT_35nA,4.4,"c1=2.5,c2=1",,,,,,,,
,,,4,ka_0044_13.38.grating.OR.mat,control,,"c1=1,c2=1",,,,,,,,
,,,5,ka_0044_13.40.grating.OR.mat,NaCl_35nA,0.6,"c1=1,c2=1",,,,,,,,
,,,6,ka_0044_13.41.grating.OR.mat,control,,"c1=2,c2=2.5",,,,,,,,
,,,7,ka_0044_13.42.grating.CO.mat,control,,c1=1.5,,,,,,,,
,,,8,ka_0044_13.43.grating.CO.mat,NaCl_35nA,0.6,c1=1.5,,,,,,,,
,,,9,ka_0044_13.45.grating.CO.mat,control,,c1=1.5,,,,,,,,
,,,11,ka_0044_13.49.grating.CO.mat,NaCl_35nA,0.6,c1=1.5,,,,,,,,
,,,12,ka_0044_13.50.grating.CO.mat,control,,c1=2,,,,,,,,
,,,13,ka_0044_13.52.grating.CO.mat,control,,c1=2,,,,,,,,
04/20/2016,"-4,+3",45,1,ka_0045_10.53.grating.ORxM.mat,,,4,,,yes,"NaCl side, 15 um",,,,
,,,2,ka_0045_10.56.grating.SF.mat,,,4.5,,,,,,,,
,,,3,ka_0045_10.58.grating.OR.mat,control,,4,,,,,,,,
,,,4,ka_0045_11.00.grating.OR.mat,5HT_15nA,-0.2,3,,,,,,,,
,,,5,ka_0045_11.02.grating.OR.mat,control,,3,,,,,,,,
,,,8,ka_0045_11.05.grating.TF.mat,control,,4.5,,,,,,,,
,,,9,ka_0045_11.07.grating.OR.mat,control,,4,,,,,,,,
,,,10,ka_0045_11.16.grating.OR.mat,control,,5,,,,,,,,
,,,11,ka_0045_11.18.grating.SF.mat,control,,2.5,,,,,,,,
,,,13,ka_0045_11.20.grating.OR.mat,control,,2.5,,,,,,,,
,,,14,ka_0045_11.22.grating.OR.mat,5HT_30nA,0,3.5,,,,,,,,
,,,16,ka_0045_11.25.grating.OR.mat,control,,2.5,,,,,,,,
,,,17,ka_0045_11.27.grating.OR.mat,control,,3.5,,,,,,,,
,,46,1,ka_0046_13.32.grating.ORxM.mat,,,3,,,yes,"NaCl side, 15 um",,,,
,,,2,ka_0046_13.35.grating.OR.mat,control,,2,,,,,,,,
,,,3,ka_0046_13.36.grating.OR.mat,5HT_15nA,0.5,3,,,,,,,,
,,,4,ka_0046_13.38.grating.OR.mat,control,,3,,,,,,,,
,,,5,ka_0046_13.40.grating.OR.mat,5HT_35nA,1.3,4,,,,,,,,
,,,6,ka_0046_13.42.grating.OR.mat,control,,4,,,,,,,,
,,,7,ka_0046_13.44.grating.OR.mat,NaCl_35nA,0.6,3.5,,,,,,,,
,,,8,ka_0046_13.46.grating.OR.mat,control,,4.5,,,,,,,,
,,,9,ka_0046_13.51.grating.OR.mat,control,,2,,,,,,,,
,,,10,ka_0046_13.53.grating.OR.mat,NaCl_35nA,0.6,2,,,,,,,,
,,,11,ka_0046_13.54.grating.OR.mat,5HT_35nA,1.2,3,,,,,,,,
,,,12,ka_0046_13.56.grating.OR.mat,control,,2,,,,,,,,
,,,14,ka_0046_14.01.grating.OR.mat,control,,2,,,,,,,,
,,,15,ka_0046_14.02.grating.OR.mat,5HT_50nA,1.8,2.5,,,,,,,,
04/21/2016,"-3,-3",47,1,ka_0047_14.45.grating.XPos.mat,,,1,,,yes,"NaCl side, 15 um",,,,
,,,2,ka_0047_14.46.grating.YPos.mat,,,1,,,,,,,,
,,,3,ka_0047_14.47.grating.ORxM.mat,,,2.5,,,,,,,,
,,,4,ka_0047_14.50.grating.OR.mat,,,2,,,,,,,,
,,,5,ka_0047_14.50.grating.SF.mat,control,,2.5,,,,,,,,
,,,6,ka_0047_14.52.grating.OR.mat,control,,2.5,,,,,,,,
,,,7,ka_0047_14.54.grating.OR.mat,5HT_15nA,0.6,3,,,,,,,,
,,,8,ka_0047_14.55.grating.OR.mat,control,,4,,,,,,,,
,,,9,ka_0047_14.57.grating.OR.mat,5HT_25nA,1,3,,,,,,,,
,,48,1,ka_0048_16.42.grating.ORxM.mat,,,3.5,,,yes,"NaCl side, 15 um",,,,
,,,2,ka_0048_16.45.grating.CO.mat,control,,3,,,,,,,,
,,,3,ka_0048_16.46.grating.CO.mat,5HT_15nA,0.6,2.5,,,,,,,,
,,,4,ka_0048_16.47.grating.CO.mat,control,,2.5,,,,,,,,
,,,5,ka_0048_16.48.grating.CO.mat,control,,2.5,,,,,,,,
,,,6,ka_0048_16.50.grating.TF.mat,control,,2,7-end,3-end,,,,,,
,,,7,ka_0048_16.51.grating.CO.mat,control,,2,,,,,,,,
,,,8,ka_0048_16.52.grating.CO.mat,control,,2,,,,,,,,
,,,9,ka_0048_16.53.grating.CO.mat,NaCl_15nA,0.1,2.5,,,,,,,,
,,49,2,ka_0049_17.14.grating.ORxM.mat,,,2,,,yes,"NaCl side, 15 um",,,,
,,,3,ka_0049_17.16.grating.SF.mat,,,2.5,,,,,,,,
,,,4,ka_0049_17.17.grating.CO.mat,control,,2.5,,,,,,,,
,,,5,ka_0049_17.18.grating.CO.mat,5HT_10nA,0.3,2,,,,,,,,
,,,6,ka_0049_17.19.grating.CO.mat,control,,2,,,,,,,,
,,,7,ka_0049_17.20.grating.CO.mat,NaCl_10nA,0,2,,,,,,,,
,,,8,ka_0049_17.21.grating.CO.mat,control,,1.5,,,,,,,,
,,,9,ka_0049_17.22.grating.OR.mat,control,,2,,,,,,,,
,,,10,ka_0049_17.24.grating.OR.mat,5HT_10nA,0.3,2,,,,,,,,
04/22/2016,"0,+2",50,1,ka_0050_10.59.grating.ORxM.mat,,,c1=3,,,no,,,,,
,,,2,ka_0050_11.01.grating.SF.mat,,,c1=3,,,,,,,,
,,,3,ka_0050_11.03.grating.OR.mat,control,,c1=1.5,,,,,,,,
,,,4,ka_0050_11.05.grating.OR.mat,5HT_10nA,0.4,c1=3,,,,,,,,
,,,5,ka_0050_11.06.grating.SF.mat,control,,c1=1,,,,,,,,
,,,6,ka_0050_11.07.grating.OR.mat,control,,c1=1,,,,,,,,
,,,7,ka_0050_11.09.grating.OR.mat,control,,c1=2,,,,,,,,
,,,8,ka_0050_11.11.grating.OR.mat,NaCl_10nA,0.1,c1=1,,,,,,,,
,,,9,ka_0050_11.12.grating.OR.mat,control,,c1=1,,,,,,,,
,,,10,ka_0050_11.13.grating.OR.mat,control,,c1=1,,,,,,,,
,,,11,ka_0050_11.14.grating.OR.mat,5HT_10nA,0.4,c1=1,,,,,,,,
,,,12,ka_0050_11.19.grating.OR.mat,control,,c1=2,,,,,,,,
,,,13,ka_0050_11.20.grating.OR.mat,5HT_20nA,0.8,c1=2,,,,,,,,
,,,14,ka_0050_11.22.grating.OR.mat,control,,c1=2,,,,,,,,
,,,15,ka_0050_11.24.grating.OR.mat,control,,"c1=3, c2=4, c3=4",,,,,c2 did not pass the criteria,,,
,,,16,ka_0050_11.25.grating.OR.mat,5HT_40nA,1.5,"c1=1.5, c2=2.5, c3=3.5",8-end,13-end,,,c2 did not pass the criteria,,,
,,,17,ka_0050_11.28.grating.OR.mat,control,,"c1=3.5, c2=2, c3=3",,,,,c2 did not pass the criteria,,,
,,,18,ka_0050_11.30.grating.SF.mat,control,,"c1=3.5, c2=2",,,,,,,,
,,,19,ka_0050_11.31.grating.OR.mat,control,,"c1=3.5, c2=2",,,,,,,,
04/23/2016,"+8,-2",51,1,ka_0051_14.26.grating.XPos.mat,,,1,,,yes,"NaCl side, 15 um",,,,
,,,2,ka_0051_14.27.grating.YPos.mat,,,1,,,,,,,,
,,,3,ka_0051_14.28.grating.ORxM.mat,,,1,,,,,,,,
,,,4,ka_0051_14.30.grating.SF.mat,,,1,,,,,,,,
,,,5,ka_0051_14.31.grating.OR.mat,,,1,,,,,,,,
04/24/2016,"-4,-6",52,1,ka_0052_12.30.grating.XPos.mat,,,2,,,no,,,,,
,,,2,ka_0052_12.31.grating.YPos.mat,,,1,,,,,,,,
,,,3,ka_0052_12.32.grating.ORxM.mat,,,2,,,,,,,,
,,53,1,ka_0053_12.43.grating.XPos.mat,,,"c1=2,c2=3",,,no,,,,,
,,,2,ka_0053_12.44.grating.YPos.mat,,,"c1=2,c2=3",,,,,,,,
,,,3,ka_0053_12.44.grating.ORxM.mat,,,4,,,,,,,,
,,54,1,ka_0054_13.07.grating.ORxM.mat,,,1,,,no,,,,,
,,,2,ka_0054_13.09.grating.OR.mat,control,,2,,,,,,,,
,,,3,ka_0054_13.11.grating.OR.mat,5HT_10nA,1,2,,,,,,,,
,,,4,ka_0054_13.12.grating.OR.mat,control,,3,,,,,,,,
,,,5,ka_0054_13.14.grating.TF.mat,control,,2.5,,,,,,,,
,,,6,ka_0054_13.16.grating.OR.mat,control,,2.5,,,,,,,,
,,55,1,ka_0055_13.20.grating.ORxM.mat,,,1,,,no,,,,,
,,,2,ka_0055_13.23.grating.SF.mat,,,1,,,,,,,,
,,,3,ka_0055_13.24.grating.OR.mat,control,,1,,,,,,,,
,,,4,ka_0055_13.26.grating.OR.mat,5HT_5nA,0.4,1,,,,,,,,
,,,5,ka_0055_13.27.grating.OR.mat,control,,1,,,,,,,,
,,,6,ka_0055_13.29.grating.OR.mat,control,,1,,,,,,,,
,,56,1,ka_0056_13.34.grating.ORxM.mat,,,1,,,,,,,,
,,,2,ka_0056_13.37.grating.SF.mat,,,1,,,,,,,,
,,,3,ka_0056_13.38.grating.OR.mat,,,1,,,,,,,,
,,57,1,ka_0057_14.03.grating.ORxM.mat,,,1,,,no,,,,,
,,,2,ka_0057_14.06.grating.SF.mat,,,1,,,,,,,,
,,,3,ka_0057_14.07.grating.OR.mat,,,1,,,,,,,,
,,,4,ka_0057_14.09.grating.SF.mat,,,1,,,,,,,,
,,,5,ka_0057_14.09.grating.OR.mat,control,,1,,,,,,,,
,,,6,ka_0057_14.11.grating.OR.mat,5HT_10nA,0.4,1,,,,,,,,
,,,7,ka_0057_14.13.grating.OR.mat,control,,1,,,,,,,,
,,,8,ka_0057_14.15.grating.OR.mat,5HT_20nA,1,1,,,,,looking around,,,
,,,9,ka_0057_14.16.grating.OR.mat,5HT_20nA,1,1,,,,,,,,
,,,10,ka_0057_14.19.grating.OR.mat,control,,1,,,,,,,,
,,58,1,ka_0058_14.39.grating.ORxM.mat,,,2,,,no,,,,,
,,,2,ka_0058_14.41.grating.OR.mat,control,,2,,,,,,,,
,,,3,ka_0058_14.43.grating.OR.mat,5HT_20nA,1,1,,,,,,,,
,,,4,ka_0058_14.45.grating.OR.mat,control,,1,,,,,,,,
,,,5,ka_0058_14.47.grating.TF.mat,control,,2,,,,,,,,
,,,6,ka_0058_14.48.grating.OR.mat,control,,2,,,,,,,,
,,,7,ka_0058_14.50.grating.OR.mat,5HT_30nA,1.9,1,,,,,,,,
04/25/2016,"+8,0",59,1,ka_0059_10.33.grating.XPos.mat,,,2,,,yes,"NaCl side, 15 um",,,,
,,,2,ka_0059_10.34.grating.ORxM.mat,,,3,,,,,,,,
,,,3,ka_0059_10.40.grating.OR.mat,control,,3,,,,,,,,
,,,4,ka_0059_10.42.grating.OR.mat,5HT_15nA,-0.1,2,,,,,,,,
,,,5,ka_0059_10.44.grating.OR.mat,control,,3,,,,,,,,
,,,6,ka_0059_10.47.grating.CO.mat,control,,3,,,,,,,,
,,60,1,ka_0060_12.22.grating.ORxM.mat,,,1,,,yes,"NaCl side, 15 um",,,,
,,,2,ka_0060_12.25.grating.OR.mat,,,1.5,,,,,,,,
,,,3,ka_0060_12.27.grating.CO.mat,,,1,,,,,,,,
5,,,5,ka_0060_12.28.grating.CO.mat,,,1,,,,,,,,
,,,6,ka_0060_12.29.grating.CO.mat,,,1,,,,,,,,
,,,8,ka_0060_12.31.grating.XPos.mat,,,2,,,,,,,,
,,,9,ka_0060_12.32.grating.YPos.mat,,,2,,,,,,,,
,,,10,ka_0060_12.34.grating.SZ.mat,,,1,,,,,,,,
,,,11,ka_0060_12.35.grating.SZ.mat,,,4.5,,,,,,,,
04/26/2016,"+1,-4",61,1,ka_0061_12.21.grating.XPos.mat,,,2,,,no,,,,,
,,,2,ka_0061_12.22.grating.YPos.mat,,,3,,,,,,,,
,,,3,ka_0061_12.23.grating.ORxM.mat,,,3,,,,,,,,
,,62,1,ka_0062_13.35.grating.XPos.mat,,,1,,,no,,,,,
,,,2,ka_0062_13.36.grating.YPos.mat,,,1,,,,,,,,
,,,3,ka_0062_13.37.grating.ORxM.mat,,,1,,,,,,,,
,,,4,ka_0062_13.40.grating.SF.mat,,,1,,,,,,,,
,,,5,ka_0062_13.41.grating.CO.mat,control,,2,,,,,,,,
,,,6,ka_0062_13.42.grating.CO.mat,5HT_10nA,0.5,2,,,,,looking around,,,
,,,7,ka_0062_13.43.grating.CO.mat,5HT_10nA,0.5,2.5,,,,,,,,
05.03.2016,"+7,-5",63,1,ka_0063_11.35.grating.XPos.mat,,,4,,,,,,,,
,,64,1,ka_0064_11.53.grating.XPos.mat,,,4,,,no,,,,,
,,,2,ka_0064_11.54.grating.YPos.mat,,,3,,,,,,,,
,,,3,ka_0064_11.55.grating.ORxM.mat,,,3.5,,,,,,,,
,,,4,ka_0064_11.58.grating.OR.mat,control,,4,,,,,,,,
,,,5,ka_0064_11.59.grating.OR.mat,5HT_15nA,0,4,,,,,,,,
,,,6,ka_0064_12.01.grating.OR.mat,control,,4,,,,,,,,
,,65,1,ka_0065_12.10.grating.XPos.mat,,,2.5,,,no,,,,,
,,,2,ka_0065_12.11.grating.YPos.mat,,,2.5,,,,,,,,
05.04.2016,"+4,+3",66,1,ka_0066_11.50.grating.XPos.mat,,,2,,,yes,"on serotonin side, 150 um",,,,
,,,2,ka_0066_11.51.grating.YPos.mat,,,2,,,,,,,,
,,,3,ka_0066_11.52.grating.ORxM.mat,,,4,,,,,,,,
,,,6,ka_0066_11.57.grating.SF.mat,,,"c1=2,c2=4",,,,,,,,
,,,8,ka_0066_11.58.grating.SF.mat,,,"c1=4,c2=4",,,,,,,,
,,67,1,ka_0067_11.59.grating.SF.mat,,,"c1=4,c2=4",,,yes,"on serotonin side, 150 um",,,,
,,,2,ka_0067_12.00.grating.SFxM.mat,,,"c1=4,c2=4",,,,,,,,
,,68,1,ka_0068_12.25.grating.XPos.mat,,,2.5,,,yes,"on serotonin side, 150 um",,,,
,,69,1,ka_0069_12.48.grating.XPos.mat,,,1,,,yes,"on serotonin side, 150 um",,,,
,,,2,ka_0069_12.49.grating.YPos.mat,,,2,,,,,,,,
,,,4,ka_0069_12.50.grating.ORxM.mat,,,2,,,,,,,,
,,,5,ka_0069_12.53.grating.SF.mat,,,2,,,,,,,,
,,,6,ka_0069_12.54.grating.CO.mat,control,,2,,,,,,,,
,,,7,ka_0069_12.55.grating.CO.mat,5HT_10nA,0.1,3,,,,,,,,
,,,8,ka_0069_12.56.grating.CO.mat,control,,3.5,,,,,,,,
,,,9,ka_0069_12.57.grating.CO.mat,5HT_30nA,0.4,3.5,,,,,,,,
,,,10,ka_0069_12.58.grating.CO.mat,control,,3,,,,,,,,
,,,11,ka_0069_12.59.grating.CO.mat,control,,3.5,,,,,,,,
,,,12,ka_0069_13.00.grating.CO.mat,control,,3.5,,,,,,,,
,,70,1,ka_0070_13.20.grating.YPos.mat,,,2,,,yes,"on serotonin side, 150 um",,,,
,,,2,ka_0070_13.21.grating.ORxM.mat,,,4,,,,,,,,
,,,3,ka_0070_13.24.grating.SF.mat,,,3.5,,,,,,,,
,,,4,ka_0070_13.25.grating.SF.mat,,,4,,,,,,,,
,,,5,ka_0070_13.26.grating.SF.mat,,,3,,,,,,,,
05.10.2016,"0,-7",71,1,ka_0071_11.07.grating.XPos.mat,,,1,,,no,possible shortcut, voltage not going up,,,,
,,,2,ka_0071_11.08.grating.YPos.mat,,,1,,,,,,,,
,,,3,ka_0071_11.09.grating.ORxM.mat,,,1,,,,,,,,
,,,4,ka_0071_11.12.grating.SF.mat,,,1,,,,,,,,
,,,5,ka_0071_11.13.grating.CO.mat,control,,1,,,,,,,,
,,,6,ka_0071_11.14.grating.CO.mat,5HT_10nA,0.3,1,,,,,,,,
,,,7,ka_0071_11.15.grating.CO.mat,control,,1,,,,,,,,
,,,8,ka_0071_11.16.grating.CO.mat,control,,1,,,,,,,,
,,,9,ka_0071_11.18.grating.TF.mat,control,,1,,,,,,,,
,,,10,ka_0071_11.20.grating.CO.mat,control,,1,,,,,,,,
,,,11,ka_0071_11.20.grating.TF.mat,control,,1,,,,,,,,
,,,12,ka_0071_11.22.grating.OR.mat,control,,1,,,,,,,,
,,,13,ka_0071_11.24.grating.CO.mat,control,,1,,,,,,,,
,,,14,ka_0071_11.25.grating.OR.mat,control,,1,,,,,,,,
,,,15,ka_0071_11.26.grating.CO.mat,control,,1,,,,,,,,
,,,16,ka_0071_11.27.grating.CO.mat,control,,1,,,,,,,,
,,,17,ka_0071_11.29.grating.CO.mat,NaCl_10nA,0.3,1,,,,,,,,
,,,18,ka_0071_11.30.grating.CO.mat,control,,1,,,,,,,,
05.11.2016,"+3,-4",72,1,ka_0072_11.11.grating.XPos.mat,,,5,,,no,,,,,
,,,2,ka_0072_11.12.grating.YPos.mat,,,5,,,,,,,,
,,73,1,ka_0073_11.30.grating.XPos.mat,,,4,,,no,,,,,
,,,2,ka_0073_11.30.grating.YPos.mat,,,5,,,,,,,,
,,,3,ka_0073_11.31.grating.ORxM.mat,,,4.5,,,,,,,,
05.12.2016,"-2,-2",74,1,ka_0074_15.15.grating.XPos.mat,,,"c1=1,c2=1.5",,,no,,monkey was moving a lot,,,
,,,2,ka_0074_15.16.grating.YPos.mat,,,c1=3.5,,,,,,,,
,,,3,ka_0074_15.26.grating.ORxM.mat,,,c1=1,,,,,,,,
,,,4,ka_0074_15.29.grating.SF.mat,,,c1=1,,,,,,,,
,,,5,ka_0074_15.30.grating.OR.mat,control,,c1=1,,,,,,,,
,,,6,ka_0074_15.32.grating.OR.mat,5HT_10nA,0.2,c1=1,,,,,,,,
,,,7,ka_0074_15.33.grating.OR.mat,control,,c1=1,,,,,,,,
,,,8,ka_0074_15.35.grating.OR.mat,control,,c1=1,,,,,,,,
,,,9,ka_0074_15.36.grating.OR.mat,control,,c1=1,,,,,,,,
,,,10,ka_0074_15.37.grating.OR.mat,5HT_20nA,0.5,c1=1,,,,,,,,
,,,11,ka_0074_15.39.grating.OR.mat,control,,c1=1,,,,,,,,
,,,12,ka_0074_15.42.grating.OR.mat,control,,c1=1,,,,,,,,
,,,13,ka_0074_15.43.grating.OR.mat,NaCl_20nA,0.4,c1=1,,,,,,,,
,,,14,ka_0074_15.45.grating.OR.mat,control,,c1=1,,,,,,,,
,,,15,ka_0074_15.47.grating.OR.mat,control,,c1=1,,,,,,,,
,,,13,ka_0074_15.50.grating.OR.mat,5HT_40nA,1.1,c1=1,,,,,,,,
,,,17,ka_0074_15.52.grating.OR.mat,control,,c1=1,,,,,,,,
,,,18,ka_0074_15.53.grating.TF.mat,control,,c1=2,,,,,,,,
,,,19,ka_0074_15.55.grating.OR.mat,control,,c1=1,,,,,,,,
,,,20,ka_0074_15.57.grating.OR.mat,control,,c1=2.5,,,,,,,,
,,,21,ka_0074_16.01.grating.OR.mat,control,,c1=1.5,,,,,,,,
,,,22,ka_0074_16.02.grating.OR.mat,control,,c1=1,,,,,,,,
,,,23,ka_0074_16.04.grating.OR.mat,NaCl _40nA,0.6,c1=1.5,,,,,,,,
,,,26,ka_0074_16.07.grating.OR.mat,control,,c1=1,,,,,,,,
,,,27,ka_0074_16.11.grating.TF.mat,control,,c1=1,,,,,,,,
,,,28,ka_0074_16.13.grating.OR.mat,control,,c1=1,,,,,,,,
,,,29,ka_0074_16.14.grating.OR.mat,5HT_60nA,1.7,c1=1,,,,,,,,
,,,31,ka_0074_16.16.grating.TF.mat,control,,c1=1,,,,,,,,
,,,32,ka_0074_16.18.grating.OR.mat,control,,c1=1,,,,,,,,
,,,33,ka_0074_16.19.grating.SF.mat,control,,c1=2,,,,,,,,
,,,34,ka_0074_16.20.grating.OR.mat,control,,c1=1,,,,,,,,
,,,35,ka_0074_16.22.grating.OR.mat,control,,c1=2,,,,,,,,
,,,36,ka_0074_16.24.grating.OR.mat,control,,c1=1.5,,,,,,,,
,,,37,ka_0074_16.26.grating.OR.mat,control,,c1=1.5,,,,,,,,
,,,38,ka_0074_16.28.grating.OR.mat,NaCl_60nA,1.1,c1=2,,,,,,,,
,,75,1,ka_0075_17.16.grating.XPos.mat,,,4,,,no,,,,,
05/13/2016,"-2,-2",76,1,ka_0076_10.10.grating.XPos.mat,,,1,,,no,,,,,
,,,2,ka_0076_10.10.grating.YPos.mat,,,1,,,,,,,,
,,,3,ka_0076_10.11.grating.ORxM.mat,,,1.5,,,,,,,,
,,,5,ka_0076_10.14.grating.SF.mat,,,3,,,,,,,,
,,,7,ka_0076_10.16.grating.OR.mat,,,3,,,,,,,,
,,,8,ka_0076_10.18.grating.TF.mat,,,4.5,,,,,,,,
,,77,1,ka_0077_12.26.grating.XPos.mat,,,"c1=1,c2=1.5",,,no,,,,,
,,,2,ka_0077_12.26.grating.YPos.mat,,,"c1=1,c2=1",,,,,,,,
,,,3,ka_0077_12.27.grating.ORxM.mat,,,"c1=1,c2=1.5",,,,,,,,
,,,4,ka_0077_12.28.grating.ORxM.mat,,,c1=2.5,,,,,,,,
,,,5,ka_0077_12.31.grating.OR.mat,,,c1=2,,,,,,,,
,,78,1,ka_0078_13.00.grating.XPos.mat,,,1,,,no,electrode clocked for 5HT side,,,,
,,,2,ka_0078_13.01.grating.YPos.mat,,,2,,,,,,,,
,,,3,ka_0078_13.02.grating.ORxM.mat,,,3,,,,,,,,
,,,4,ka_0078_13.05.grating.SF.mat,,,2,,,,,,,,
,,,5,ka_0078_13.05.grating.OR.mat,control,,2.5,,,,,,,,
,,,6,ka_0078_13.08.grating.OR.mat,control,,2,,,,,,,,
,,,7,ka_0078_13.09.grating.OR.mat,5HT_15nA,1.8,1,,,,,,,,
,,,8,ka_0078_13.11.grating.OR.mat,control,,1.5,,,,,,,,
,,,9,ka_0078_13.13.grating.CO.mat,control,,1.5,,,,,,,,
,,,10,ka_0078_13.14.grating.CO.mat,5HT_30nA,4,2,,,,,,,,
,,,11,ka_0078_13.15.grating.CO.mat,control,,2,,,,,,,,
,,,12,ka_0078_13.16.grating.CO.mat,NaCl_30nA,0.3,2,,,,,,,,
,,,13,ka_0078_13.18.grating.CO.mat,control,,2,,,,,,,,
,,,14,ka_0078_13.20.grating.CO.mat,5HT _60nA,8,2,,,,,,,,
,,,15,ka_0078_13.21.grating.CO.mat,control,,2,,,,,,,,
,,,16,ka_0078_13.23.grating.CO.mat,control,,2,,,,,,,,
,,,17,ka_0078_13.25.grating.CO.mat,NaCl_60nA,1.3,3,,,,,,,,
,,,19,ka_0078_13.27.grating.CO.mat,control,,2.5,,,,,,,,
,,,20,ka_0078_13.29.grating.TF.mat,control,,3,,,,,,,,
